"NUM_PLACA","TIPO","ENDERECO","SENTIDO","LONGITUDE","LATITUDE","LINK","GABARITO"
"617","FRONT LIGHT","MARANGUAPE - AV. DR. AGEU. ESQ. R. JOSE FERNANDES VIEIRA","ACESSO A CENTRO DE MARANGUAPE","-3.8864602","-38.6811339","https://www.google.com.br/Front-617","https://drive.google.com/Gabarito-617"
"620","MEGA FRONT","AV. SENADOR CARLOS JEREISSATI PROX. VIADUTO MAKRO - .1","AC. BR 116","-3.7842391","-38.5182039","https://www.google.com.br/MegaFront-620","https://drive.google.com/Gabarito-620"
"623","FRONT LIGHT","AV OSORIO PAIVA PX COL LOURENCO FILHO","F.SERTAO","-3.7750984","-38.5656508","https://www.google.com.br/Front-623","https://drive.google.com/Gabarito-623"
"625","FRONT LIGHT","AV. ENG. SANTANA JR. ESQ C/ RUA GILBERETO STUDART","ACESSO AO IGUATEMI","-3.7418147","-38.4858581","https://www.google.com.br/Front-625","https://drive.google.com/Gabarito-625"
"626","FRONT LIGHT","AV. ENG. SANTANA JR. ESQ C/ RUA GILBERETO STUDART","ACESSO A SANTOS DUMONT","-3.7418147","-38.4858581","https://www.google.com.br/Front-626","https://drive.google.com/Gabarito-626"
"628","FRONT LIGHT","AV. BEZERRA DE MENEZES. ESQ. PEDRO DE QUEIROZ","ACESSO CENTRO","-3.7349817","-38.5607073","https://www.google.com.br/Front-628","https://drive.google.com/Gabarito-628"
"629","FRONT LIGHT","AV. BEZERRA DE MENEZES. ESQ. PEDRO DE QUEIROZ","ACESSO CAUCAIA","-3.7349817","-38.5607073","https://www.google.com.br/Front-629","https://drive.google.com/Gabarito-629"
"630","FRONT LIGHT","AV. DOMINGOS OLIMPIO. ESQ. R. EUSEBIO DE SOUZA","ACESSO AV. AGUANAMB","-3.7384707","-38.5253306","https://www.google.com.br/Front-630","https://drive.google.com/Gabarito-630"
"633","FRONT LIGHT","AV. ANTÔNIO SALES. ESQ. CEL JUCÁ","ACESSO PAPICU","-3.7478642","-38.4946871","https://www.google.com.br/Front-633","https://drive.google.com/Gabarito-633"
"634","FRONT LIGHT","AV. ANTÔNIO SALES. ESQ. CEL JUCÁ","ACESSO ANTÔNIO SALES","-3.7478642","-38.4946871","https://www.google.com.br/Front-634","https://drive.google.com/Gabarito-634"
"637","FRONT LIGHT","AV.SEN.CARLOS JEREISSATI EM FRENTE AO AEROPORTO – 2","AC.ATACADA","-3.7804988","-38.5419823","https://www.google.com.br/Front-637","https://drive.google.com/Gabarito-637"
"638","FRONT LIGHT","AV.SEN.CARLOS JEREISSATI EM FRENTE AO AEROPORTO","AC.MONTESE","-3.7804988","-38.5419823","https://www.google.com.br/Front-638","https://drive.google.com/Gabarito-638"
"639","FRONT LIGHT","AV. DOMINGOS OLIMPIO EM FRENTE IGREJA OTAVIO BONFIM - .5","AV.BEZERRA","-3.73281","-38.5422685","https://www.google.com.br/Front-639","https://drive.google.com/Gabarito-639"
"640","FRONT LIGHT","AV. BORGES DE MELO. 1295 - EM FRENTE A RODOVIARIA","SENTIDO BASE AEREA","-3.7591897","-38.5310025","Https://www.google.com.br/Front-640","https://drive.google.com/Gabarito-640"
"641","FRONT LIGHT","AV. BORGES DE MELO. 1295 - EM FRENTE A RODOVIARIA","SENTIDO MONTESE","-3.7591897","-38.5310025","https://www.google.com.br/Front-641","https://drive.google.com/Gabarito-641"
"642","FRONT LIGHT","AV. WASHINGTON SOARES. 7415 - EM FRENTE AO GONZAGUINHA MESSEJANA","SNTIDO EUSEBIO/FORTALEZA","-3.8202681","-38.4811536","https://www.google.com.br/Front-642","https://drive.google.com/Gabarito-642"
"643","FRONT LIGHT","RUA ANA BILHAR. 1150 - ESTACIONAMENTO TURATTI","SENTIDO MEIRELES","-3.7313429","-38.4898864","https://www.google.com.br/Front-643","https://drive.google.com/Gabarito-643"
"646","FRONT LIGHT","AV. WASHINGTON SOARES EM FRENTE SHOPPING DO AUTOMOVEL - .1","AC. CENTRO","-3.776492","-38.481505","https://www.google.com.br/Front-646","https://drive.google.com/Gabarito-646"
"650","FRONT LIGHT","AV DOMINGOS OLIMPIO ESQ AV. DA UNIVERSIDADE","F. BEZERRA","-3.7356951","-38.5340323","https://www.google.com.br/Front-650","https://drive.google.com/Gabarito-650"
"651","FRONT LIGHT","AV SEN.CARLOS JEREISSATI - VIZINHO AEROPORTO","AC.MONTESE","-3.7695112","-38.5496515","https://www.google.com.br/Front-651","https://drive.google.com/Gabarito-651"
"653","FRONT LIGHT","AV OLIVEIRA PAIVA PROX. EXTRA – 1","AC. W. SOA","-3.7957136","-38.4927197","https://www.google.com.br/Front-653","https://drive.google.com/Gabarito-653"
"654","FRONT LIGHT","AV. OLIVEIRA PAIVA. PROX. EXTRA SUPERMERCADO. ACESSO CASTELÃO","ACESSO BR 116 / ARENA CASTELÃO","-3.7957136","-38.4927197","Https://www.google.com.br/Front-654","https://drive.google.com/Gabarito-654"
"655","MEGA FRONT","AV.WASHINGTON SOARES ESQ. AV.EDILSON BRASIL SOARES - PROX. COL.","ACESSO UNI","-3.7900095","-38.4805622","https://www.google.com.br/MegaFront-655","https://drive.google.com/Gabarito-655"
"656","FRONT LIGHT","AV. WASHINGTON SOARES. ESQ. AV. EDILSON BRASIL SOARES","ACESSO EUSEBIO","-3.7900095","-38.4805622","https://www.google.com.br/Front-656","https://drive.google.com/Gabarito-656"
"657","FRONT LIGHT","AV 13 DE MAIO ESQ. COM JAIME BENEVOLO - PX. WIZARD DA","13 DE MAIO 23 BC","-3.7482283","-38.530546","https://www.google.com.br/Front-657","https://drive.google.com/Gabarito-657"
"661","FRONT LIGHT","ROTATORIA AGUANAMBI. ACESSO CENTRO","ACESSO CENTRO","-3.7555911","-38.5228134","Https://www.google.com.br/Front-661","https://drive.google.com/Gabarito-661"
"663","FRONT LIGHT","AV MAESTRO LISBOA ACESSO BEACH PARK","F. W. SOAR","-3.8054736","-38.4494428","https://www.google.com.br/Front-663","https://drive.google.com/Gabarito-663"
"664","FRONT LIGHT","AV MAESTRO LISBOA ACESSO AV.WASHINGTON SOARES","BEACH PARK","-3.8054736","-38.4494428","https://www.google.com.br/Front-664","https://drive.google.com/Gabarito-664"
"668","FRONT LIGHT","AV WASHINGTON SOARES ESQ. COM AV.EDILSON BRASIL SOARES -","COL. ARI W.SOARES","-3.789512","-38.4809852","https://www.google.com.br/Front-668","https://drive.google.com/Gabarito-668"
"670","FRONT LIGHT","RUA ALMEIDA PRADO - EM FRENTE SHOPPING RIOMAR PAPICU. 260 - .","SHOP. RIOM","-3.7397342","-38.4738972","https://www.google.com.br/Front-670","https://drive.google.com/Gabarito-670"
"673","FRONT LIGHT","AV. DR. SILAS MUNGUBA. EM FRENTE SHOP PARANGABA. ACESSO LAGOA DA PARANGABA","SHOPPING","-3.7769799","-38.5621875","https://www.google.com.br/Front-673","https://drive.google.com/Gabarito-673"
"675","FRONT LIGHT","AV. ANTONIO SALES. ESQ. COM OSVALDO CRUZ. ACESSO PRAÇA DA IMPRENSA","ACESSO PRAÇA DA IMPRENSA","-3.7449929","-38.5039052","https://www.google.com.br/Front-675","https://drive.google.com/Gabarito-675"
"677","FRONT LIGHT","AV WASHINGTON SOARES. PROXIMO TAPIOQUEIRA","SENTIDO IGUATEMI","-3.8391165","-38.4793385","https://www.google.com.br/Front-677","https://drive.google.com/Gabarito-677"
"681","FRONT LIGHT","AV MESTRO LISBOA DESCIDA VIADUTO W. SOARES","AC BEACH P","-3.8082427","-38.4774159","https://www.google.com.br/Front-681","https://drive.google.com/Gabarito-681"
